Exercise,Movement type
Pull ups,Pull
Chin ups,Pull
Neutral pull ups,Pull
Press ups,Press
Diamond press up,Press
Typewriter press up,Press
Squats,Lower
Lunges,Lower
Flutter kicks,Core
Step ups,Lower
Mountain climbers,Core
Burpees,Full
Sit ups,Core
Bird Dogs,Full
Sandbag Cleans,Full
Kettlebell Cleans,Full
Kettlebell press,Press
Kettlebell swings,Full
Yes's,Neck
Nos,Neck
2 Pump Burpees,Full
Man maker,Full
Thruster,Full
Hip Thrust,Lower
20 yd sprints,Cardio
Tactical Pro Agility Drill,Cardio
Run (km),Cardio
Ab wheel,Core
Bridge hold,Core
Crouching tiger press ups,Press
